yang	- 35,955,302-
konotasi	- 5,810-
pranata	- 5,784-
isya	- 5,781-
wahabi	- 5,775-
lumat	- 5,772-
literal	- 5,767-
remunerasi	- 5,765-
rajab	- 5,753-
lalang	- 5,752-
durhaka	- 5,748-
homogen	- 5,740-
jambore	- 5,695-
bacok	- 5,679-
adipati	- 5,642-
cewe	- 5,632-
rancu	- 5,592-
waru	- 5,574-
jargon	- 5,554-
tumenggung	- 5,513-
dengung	- 5,470-
muluk	- 5,440-
adrenal	- 5,430-
sekresi	- 5,424-
sampean	- 5,418-
sukun	- 5,396-
gama	- 5,394-
kapuk	- 5,392-
tablig	- 5,387-
sablon	- 5,383-
amil	- 5,376-
lentang	- 5,344-
korosi	- 5,342-
bual	- 5,327-
tadah	- 5,327-
reumatoid	- 5,322-
holistik	- 5,319-
uranium	- 5,315-
cekik	- 5,304-
plagiat	- 5,303-
rembes	- 5,295-
gergaji	- 5,289-
topografi	- 5,278-
kusta	- 5,276-
hasut	- 5,259-
higiene	- 5,251-
lai	- 5,233-
lesak	- 5,230-
kedip	- 5,225-
kafilah	- 5,204-
faedah	- 5,203-
koko	- 5,186-
polan	- 5,178-
panembahan	- 5,176-
jejer	- 5,167-
cemooh	- 5,137-
tang	- 5,124-
lego	- 5,078-
bobrok	- 5,062-
kerek	- 5,061-
perisai	- 4,993-
sarasehan	- 4,981-
togel	- 4,980-
klona	- 4,969-
polimer	- 4,959-
gelitik	- 4,938-
tenggang	- 4,934-
konglomerat	- 4,931-
skors	- 4,930-
taklim	- 4,921-
sayembara	- 4,914-
mufakat	- 4,906-
infak	- 4,902-
statuta	- 4,883-
colong	- 4,878-
arung	- 4,862-
perangai	- 4,821-
pematang	- 4,815-
nista	- 4,812-
mesias	- 4,811-
rengkuh	- 4,799-
kompi	- 4,795-
tabiat	- 4,784-
paras	- 4,781-
tubi	- 4,781-
surau	- 4,766-
dera; mendera	- 4,765-
vokasi	- 4,765-
etape	- 4,759-
ampu	- 4,756-
kirab	- 4,754-
gemas	- 4,746-
kecambah	- 4,745-
ordo	- 4,739-
embarkasi	- 4,737-
perosok	- 4,716-
aransemen	- 4,715-
lesi	- 4,715-
nostalgia	- 4,715-
pugar	- 4,706-
ransum	- 4,700-
sumsum	- 4,698-
istigfar	- 4,694-
tektonik	- 4,693-
cakram	- 4,654-
silabus	- 4,653-
akhwat	- 4,649-
lamin	- 4,646-
syiar	- 4,644-
konvergen	- 4,639-
rimbun	- 4,639-
heterogen	- 4,614-
dinda	- 4,601-
substitusi	- 4,597-
setu	- 4,596-
tuba	- 4,595-
julur	- 4,592-
diseminasi	- 4,582-
kucil	- 4,575-
fluida	- 4,564-
pet	- 4,557-
siam	- 4,545-
testosteron	- 4,544-
joglo	- 4,543-
ihram	- 4,530-
ampe	- 4,529-
galur	- 4,524-
nun	- 4,513-
jambret	- 4,512-
qadar	- 4,512-
proposisi	- 4,509-
nirwana	- 4,492-
konveksi	- 4,488-
cemara	- 4,474-
boga	- 4,449-
asiri	- 4,434-
busi	- 4,432-
renggang	- 4,432-
fasik	- 4,413-
cam	- 4,408-
depresiasi	- 4,405-
sakinah	- 4,402-
apatis	- 4,393-
sinopsis	- 4,393-
oper	- 4,382-
wabarakatuh	- 4,369-
tendensi	- 4,360-
feodal	- 4,356-
kepul; pul	- 4,343-
iba	- 4,331-
koplo	- 4,319-
kulum	- 4,313-
premis	- 4,312-
keropos	- 4,300-
libido	- 4,296-
jepret	- 4,294-
loka	- 4,281-
trombosit	- 4,279-
sua	- 4,273-
mukosa	- 4,272-
vespa	- 4,262-
gacor	- 4,251-
semena	- 4,244-
depak	- 4,238-
genus	- 4,238-
kuitansi	- 4,232-
umpat	- 4,226-
senggol	- 4,209-
kontur	- 4,207-
volatil	- 4,200-
abs	- 4,193-
presidium	- 4,187-
syarikat	- 4,178-
mbok	- 4,177-
ginseng	- 4,171-
lalap	- 4,171-
dikte	- 4,168-
sanggrah	- 4,152-
paritas	- 4,147-
bajaj	- 4,142-
gliserol	- 4,142-
muhajir	- 4,142-
granit	- 4,140-
tipologi	- 4,138-
ciut	- 4,136-
lirih	- 4,125-
saban	- 4,113-
resin	- 4,106-
windu	- 4,102-
anulir	- 4,093-
bauksit	- 4,084-
nas	- 4,083-
dahan	- 4,079-
antigen	- 4,077-
coli	- 4,074-
tawakal	- 4,059-
gaharu	- 4,051-
sogok	- 4,029-
kongsi	- 4,028-
layat	- 4,028-
kamuflase	- 4,018-
intrinsik	- 4,012-
sukma	- 4,004-
luruh	- 3,998-
damar	- 3,996-
rembet	- 3,996-
somasi	- 3,990-
yodium	- 3,988-
muamalah	- 3,985-
diler	- 3,982-
stimulan	- 3,976-
cokol	- 3,968-
justifikasi	- 3,955-
rendemen	- 3,945-
kemiri	- 3,941-
antagonis	- 3,935-
kelok	- 3,935-
golek	- 3,929-
seduh	- 3,920-
lakat	- 3,919-
mentok	- 3,918-
pocong	- 3,915-
saman	- 3,904-
epilepsi	- 3,894-
kans	- 3,884-
bismillah	- 3,879-
baiat	- 3,876-
jiplak	- 3,872-
yogia	- 3,869-
momong	- 3,867-
ruwet	- 3,857-
spesimen	- 3,855-
ungkit	- 3,852-
deportasi	- 3,850-
ne	- 3,845-
amburadul	- 3,838-
delik	- 3,835-
klir	- 3,830-
kekar	- 3,823-
tambat	- 3,819-
haul	- 3,817-
belantara	- 3,811-
inkarnasi	- 3,808-
karawitan	- 3,791-
risi	- 3,787-
cangkok	- 3,786-
euforia	- 3,778-
feses	- 3,771-
koreografi	- 3,769-
gersang	- 3,766-
pionir	- 3,764-
implan	- 3,762-
uban	- 3,756-
gebu	- 3,752-
hemoglobin	- 3,751-
mufti	- 3,750-
sanggama	- 3,749-
sulfat	- 3,745-
keong	- 3,735-
kulak	- 3,727-
laten	- 3,720-
sabat	- 3,719-
meta	- 3,709-
lor	- 3,707-
zodiak	- 3,705-
subak	- 3,700-
kemal	- 3,691-
fosfat	- 3,686-
wanti-wanti	- 3,684-
kaprah	- 3,674-
transistor	- 3,674-
fosfor	- 3,668-
impuls	- 3,657-
absorpsi	- 3,649-
seruak	- 3,649-
cengkerama	- 3,648-
beduk	- 3,647-
bejana	- 3,647-
sekam	- 3,647-
simbah	- 3,638-
cekcok	- 3,632-
runut	- 3,624-
johar	- 3,621-
songket	- 3,621-
sekongkol	- 3,612-
kentara	- 3,600-
diva	- 3,598-
garuk	- 3,596-
dikotomi	- 3,594-
pakis	- 3,586-
plankton	- 3,583-
kir	- 3,578-
sawo	- 3,578-
kocak	- 3,573-
mukena	- 3,570-
mandek	- 3,564-
rungu	- 3,564-
retensi	- 3,563-
anu	- 3,558-
gubah	- 3,556-
amblas	- 3,551-
pujangga	- 3,551-
cebur	- 3,532-
emansipasi	- 3,531-
murai	- 3,526-
bayan	- 3,523-
gudeg	- 3,518-
nang	- 3,517-
defisi	- 3,516-
ruah	- 3,516-
dumping	- 3,515-
ambles	- 3,504-
khatam	- 3,497-
median	- 3,495-
bawasir	- 3,486-
pinda	- 3,486-
terawang	- 3,485-
cadar	- 3,477-
monggo	- 3,473-
silap	- 3,473-
lengang	- 3,470-
jazirah	- 3,466-
jegal	- 3,462-
gadung	- 3,461-
buyar	- 3,460-
didaktis	- 3,460-
besuk	- 3,459-
jengkal	- 3,459-
senter	- 3,459-
karikatur	- 3,453-
dim	- 3,452-
senggang	- 3,448-
teguk	- 3,444-
implisit	- 3,423-
teler	- 3,416-
susastra	- 3,414-
luber	- 3,413-
kutik	- 3,411-
sak	- 3,409-
serobot	- 3,406-
kisi	- 3,399-
rangsek	- 3,392-
nuri	- 3,388-
polong	- 3,384-
fals	- 3,383-
tirani	- 3,383-
palawija	- 3,380-
pelotot	- 3,380-
tongkol	- 3,376-
prosa	- 3,375-
makar	- 3,374-
halusinasi	- 3,373-
corong	- 3,369-
joget	- 3,366-
kecup	- 3,359-
mahoni	- 3,358-
taring	- 3,358-
interpelasi	- 3,356-
kapok	- 3,354-
sengon	- 3,350-
tenteng	- 3,349-
cangkul	- 3,345-
larat	- 3,340-
kecamuk	- 3,339-
syafaat	- 3,335-
keladi	- 3,333-
kawula	- 3,329-
etalase	- 3,326-
ogah	- 3,326-
baba	- 3,323-
pelet	- 3,322-
eksentrik	- 3,321-
tahbis	- 3,321-
becek	- 3,318-
uruk	- 3,309-
mubazir	- 3,298-
benderang	- 3,296-
improvisasi	- 3,295-
libas	- 3,289-
piara	- 3,284-
pit	- 3,283-
pancung	- 3,280-
terka	- 3,278-
lerai	- 3,272-
fungi	- 3,267-
sakelar	- 3,267-
manasik	- 3,261-
rum	- 3,259-
rengek	- 3,258-
gepeng	- 3,254-
decak	- 3,253-
cendawan	- 3,252-
tampuk	- 3,251-
gasak	- 3,250-
yad	- 3,244-
pencar	- 3,242-
ciduk	- 3,239-
ajah	- 3,236-
bedeng	- 3,235-
nongol	- 3,229-
patin	- 3,226-
seminari	- 3,226-
firaun	- 3,221-
utak-atik	- 3,220-
bengong	- 3,219-
titis	- 3,208-
caplok	- 3,204-
rekah	- 3,198-
nitrat	- 3,197-
gembleng	- 3,192-
angkring	- 3,191-
badar	- 3,189-
geming	- 3,189-
piket	- 3,186-
sendang	- 3,177-
sodok	- 3,172-
sortir	- 3,171-
cibir	- 3,167-
gerangan	- 3,167-
paduka	- 3,165-
menung	- 3,161-
teller	- 3,155-
telaten	- 3,150-
cumbu	- 3,148-
belukar	- 3,141-
jemu	- 3,140-
seloroh	- 3,139-
kalor	- 3,134-
gamang	- 3,131-
geber	- 3,111-
gorden	- 3,110-
terpal	- 3,110-
keramba	- 3,107-
embel	- 3,106-
titah	- 3,106-
ketok	- 3,104-
wicara	- 3,099-
muharam	- 3,098-
riak	- 3,098-
domino	- 3,097-
gedor	- 3,097-
gerabah	- 3,095-
deru	- 3,094-
ulung	- 3,093-
guyon	- 3,088-
gala	- 3,079-
obral	- 3,076-
mutilasi	- 3,075-
musafir	- 3,055-
kungkung	- 3,052-
cecak	- 3,049-
gilas	- 3,047-
kelakar	- 3,045-
aviasi	- 3,044-
matra	- 3,044-
teri	- 3,043-
rundung	- 3,040-
gending	- 3,035-
kliwon	- 3,033-
ijab	- 3,031-
statemen	- 3,022-
jelita	- 3,017-
ketoprak	- 3,014-
ceplos	- 3,012-
kelit	- 3,011-
paceklik	- 3,008-
seriawan	- 3,006-
safar	- 3,003-
pental	- 2,998-
ralat	- 2,995-
setop	- 2,995-
tetek	- 2,995-
ancang	- 2,994-
onggok	- 2,994-
semringah	- 2,992-
preseden	- 2,991-
bumbung	- 2,987-
bui	- 2,986-
cucur	- 2,983-
lempung	- 2,983-
tegun	- 2,980-
singgasana	- 2,978-
terkam	- 2,974-
dayang	- 2,969-
batok	- 2,962-
alga	- 2,960-
oceh	- 2,959-
maktub	- 2,957-
denah	- 2,955-
cakep	- 2,952-
wejang	- 2,947-
suntuk	- 2,945-
bermuda; muda	- 2,941-
atase	- 2,937-
amnesti	- 2,936-
asong	- 2,935-
qada	- 2,935-
kriya	- 2,924-
pening	- 2,923-
pukat	- 2,920-
rujak	- 2,913-
stepeotipe	- 2,911-
teungku	- 2,910-
jabon	- 2,908-
blusuk	- 2,905-
tilawah	- 2,903-
ronda	- 2,894-
bekap	- 2,893-
kais	- 2,891-
bekam	- 2,881-
antek	- 2,872-
metafora	- 2,869-
nadir	- 2,868-
resensi	- 2,867-
plakat	- 2,864-
bolak	- 2,860-
dendang	- 2,860-
fasis	- 2,860-
borang	- 2,859-
bablas	- 2,857-
ronta	- 2,855-
dekret	- 2,852-
hikayat	- 2,847-
got	- 2,842-
pelepah	- 2,841-
gladi	- 2,830-
mika	- 2,828-
pipih	- 2,824-
getir	- 2,823-
hatur	- 2,821-
beleid	- 2,819-
jamban	- 2,817-
pantik	- 2,817-
tilas	- 2,811-
nira	- 2,803-
bahak	- 2,802-
grogi	- 2,789-
primata	- 2,787-
jagal	- 2,780-
kendang	- 2,777-
bla	- 2,771-
ambrol	- 2,765-
kerok	- 2,765-
sibak	- 2,764-
flek	- 2,763-
tarikh	- 2,757-
mamah	- 2,754-
kikir	- 2,751-
dentum	- 2,744-
narsis	- 2,741-
burit	- 2,740-
gertak	- 2,729-
konsekuen	- 2,729-
ringkuk	- 2,729-
sifilis	- 2,725-
terali	- 2,725-
genitalia	- 2,722-
tabib	- 2,722-
cerca	- 2,720-
kusir	- 2,714-
krem	- 2,711-
jangkung	- 2,709-
gerek	- 2,705-
gulita	- 2,697-
kelumit	- 2,694-
leseh	- 2,693-
gegana	- 2,692-
rajam	- 2,692-
gelinding	- 2,691-
markah	- 2,691-
bunting	- 2,688-
tunggul	- 2,688-
ontologi	- 2,686-
bersit	- 2,681-
uji; coba	- 2,676-
cubit	- 2,663-
busung	- 2,660-
tenggak	- 2,659-
okupansi	- 2,653-
cecar	- 2,652-
muslihat	- 2,652-
urap	- 2,648-
bundel	- 2,644-
renta	- 2,622-
lindas	- 2,621-
amputasi	- 2,615-
rima	- 2,613-
gayung	- 2,611-
mangu	- 2,610-
kuadran	- 2,606-
molek	- 2,606-
hanggar	- 2,603-
tengkuk	- 2,597-
patri	- 2,595-
sampan	- 2,591-
sineas	- 2,590-
akhi	- 2,587-
his	- 2,581-
grahita	- 2,579-
mujur	- 2,566-
aljabar	- 2,565-
gembar-gembor	- 2,565-
gamping	- 2,563-
kidung	- 2,560-
jungkal	- 2,552-
resimen	- 2,549-
blunder	- 2,542-
sporadis	- 2,538-
mosi	- 2,536-
sumbing	- 2,535-
ekuator	- 2,527-
rongrong	- 2,522-
klep	- 2,515-
kudap	- 2,515-
antem	- 2,512-
karam	- 2,511-
diaspora	- 2,503-
ambar	- 2,502-
dadu	- 2,499-
berangus	- 2,493-
dahak	- 2,492-
ciprat	- 2,490-
petuah	- 2,482-
pampat	- 2,478-
kuadrat	- 2,476-
tukik	- 2,474-
gayut	- 2,470-
kemenyan	- 2,468-
jibaku	- 2,463-
kuintal	- 2,463-
reparasi	- 2,463-
kesima	- 2,462-
martir	- 2,459-
pak; epak	- 2,455-
depa	- 2,449-
kancil	- 2,449-
hasta	- 2,447-
laknat	- 2,447-
ufuk	- 2,445-
uzur	- 2,439-
belot	- 2,438-
sono	- 2,437-
berondong	- 2,432-
jenaka	- 2,432-
amsal	- 2,423-
gondrong	- 2,420-
polar	- 2,420-
tumbal	- 2,417-
ombang-ambing	- 2,416-
klausa	- 2,414-
kepalang	- 2,412-
onderdil	- 2,407-
desis	- 2,406-
kepul	- 2,405-
beringas	- 2,397-
sadur	- 2,397-
pijah	- 2,395-
tukul	- 2,391-
vertigo	- 2,386-
mawas	- 2,381-
lekang	- 2,375-
cas	- 2,365-
kahyangan	- 2,362-
katung	- 2,362-
puso	- 2,354-
kuyup	- 2,352-
introduksi	- 2,349-
alpa	- 2,347-
kanon	- 2,347-
kustodi	- 2,342-
lintah	- 2,337-
afirmasi	- 2,336-
pajan	- 2,334-
tungkup	- 2,323-
deg-degan	- 2,316-
teledor	- 2,314-
terasi	- 2,314-
belalak	- 2,313-
contreng	- 2,310-
semadi	- 2,308-
bandit	- 2,306-
lebam	- 2,306-
kail	- 2,305-
gosong	- 2,302-
sembul	- 2,300-
sayup	- 2,295-
binar	- 2,291-
sentil	- 2,291-
arabika	- 2,290-
kung	- 2,285-
radiologi	- 2,281-
gelimang	- 2,279-
papah	- 2,274-
umu	- 2,272-
onar	- 2,271-
merana	- 2,266-
ape	- 2,262-
botani	- 2,261-
cabik	- 2,257-
temperamen	- 2,253-
borgol	- 2,251-
bodong	- 2,249-
kroni	- 2,247-
zamzam	- 2,239-
sodomi	- 2,237-
takhayul	- 2,237-
huru-hara	- 2,233-
diagonal	- 2,225-
loyo	- 2,223-
linang	- 2,221-
pawang	- 2,221-
serotonin	- 2,220-
cadas	- 2,211-
ganggang	- 2,211-
liuk	- 2,211-
becus	- 2,210-
kuntum	- 2,202-
makzul	- 2,201-
gelegar	- 2,200-
artileri	- 2,199-
pana	- 2,197-
ninik	- 2,191-
hop	- 2,189-
skizofrenia	- 2,188-
pepet	- 2,182-
sapih	- 2,181-
bruder	- 2,179-
rentenir	- 2,179-
onani	- 2,178-
bayak	- 2,167-
gebuk	- 2,164-
serempet	- 2,163-
kokok	- 2,162-
korsleting	- 2,150-
kumpar	- 2,150-
pasak	- 2,148-
mempan	- 2,146-
catut	- 2,143-
kencur	- 2,142-
ampelas	- 2,134-
pastel	- 2,131-
mencit	- 2,127-
kanji	- 2,123-
punca	- 2,121-
dapuk	- 2,117-
dupa	- 2,117-
tegah	- 2,116-
paranoid	- 2,110-
kerat	- 2,108-
tubruk	- 2,102-
amandel	- 2,098-
kulai	- 2,085-
samawi	- 2,079-
jeblok	- 2,070-
peleton	- 2,065-
seok	- 2,063-
bengis	- 2,062-
kenduri	- 2,058-
uli	- 2,055-
giok	- 2,050-
utopia	- 2,044-
mes	- 2,039-
afdal	- 2,038-
blak-blakan	- 2,035-
nadim	- 2,035-
sangar	- 2,032-
akrobat	- 2,020-
kernet	- 2,017-
kepompong; pompong	- 2,015-
joli	- 2,010-
lonjong	- 2,009-
tumpak	- 2,002-
kungfu	- 1,994-
kongkalikong	- 1,991-
ciamik	- 1,990-
ngiang	- 1,988-
jerembap	- 1,986-
seliwer	- 1,973-
bubung	- 1,965-
gambang	- 1,965-
ketus	- 1,959-
kuncup	- 1,959-
eksem	- 1,958-
syahbandar	- 1,957-
kompartemen	- 1,956-
enyak	- 1,954-
kendi	- 1,953-
usil	- 1,946-
comot	- 1,945-
mason	- 1,945-
peranjat	- 1,939-
tandu	- 1,938-
samak	- 1,934-
ledek	- 1,932-
bakul	- 1,927-
duyung	- 1,927-
jahanam	- 1,927-
duyun	- 1,918-
kufu	- 1,917-
kalut	- 1,913-
seluar	- 1,909-
rahib	- 1,907-
baka	- 1,906-
remang	- 1,902-
salinitas	- 1,896-
urun	- 1,895-
degup	- 1,891-
hardik	- 1,888-
engah	- 1,886-
tawon	- 1,884-
etiket	- 1,868-
kentung	- 1,865-
ek	- 1,859-
aba	- 1,858-
fortuna	- 1,852-
ligamen	- 1,851-
islah	- 1,849-
kanibal	- 1,841-
kelabak	- 1,839-
catu	- 1,835-
congkel	- 1,832-
serampang	- 1,830-
cendol	- 1,819-
ogoh-ogoh	- 1,817-
aritmetika	- 1,816-
jubel	- 1,804-
foya	- 1,801-
tawang	- 1,801-
belulang	- 1,790-
alah	- 1,787-
sumpit	- 1,785-
garing	- 1,784-
patuk	- 1,779-
kepang	- 1,774-
rongsok	- 1,770-
ubrak-abrik	- 1,770-
borok	- 1,768-
trim	- 1,765-
bata-bata	- 1,761-
gentong	- 1,759-
limpung	- 1,757-
lantak	- 1,755-
brom	- 1,750-
tulen	- 1,745-
psikopat	- 1,741-
jungkir	- 1,739-
kelereng	- 1,736-
pepes	- 1,736-
juntai	- 1,735-
tamasya	- 1,731-
sekaten	- 1,730-
basmalah	- 1,725-
buras	- 1,717-
seringai	- 1,715-
gung	- 1,714-
lepuh	- 1,714-
amplitudo	- 1,706-
trembesi	- 1,704-
rapel	- 1,701-
lata	- 1,700-
ringis	- 1,699-
longok	- 1,693-
cikungunya	- 1,689-
jambul	- 1,687-
umpet	- 1,683-
pora	- 1,670-
taipan	- 1,664-
hunus	- 1,659-
runyam	- 1,659-
bandul	- 1,656-
galah	- 1,656-
sianida	- 1,655-
tremor	- 1,652-
pengap	- 1,650-
adinda	- 1,644-
rabun	- 1,635-
takjil	- 1,627-
mudarat	- 1,622-
kafan	- 1,613-
cendera	- 1,608-
legiun	- 1,605-
tatih	- 1,605-
mentang	- 1,604-
gaek	- 1,602-
parasut	- 1,601-
afiks	- 1,600-
langlang	- 1,600-
gardan	- 1,598-
bete	- 1,594-
lengking	- 1,594-
remi	- 1,594-
kecapi	- 1,593-
batako	- 1,592-
cupang	- 1,583-
alto	- 1,581-
disposisi	- 1,581-
kuduk	- 1,580-
pentil	- 1,580-
pelintir	- 1,578-
rang	- 1,578-
aum	- 1,577-
mural	- 1,577-
telegram	- 1,577-
proyektil	- 1,576-
ompol	- 1,575-
isbat	- 1,574-
fluks	- 1,572-
melas	- 1,567-
traksi	- 1,561-
juncto	- 1,558-
modular	- 1,550-
sedu	- 1,550-
puntung	- 1,543-
engsel	- 1,537-
labirin	- 1,537-
sonata	- 1,532-
bohlam	- 1,528-
udik	- 1,528-
cerutu	- 1,526-
sipu	- 1,525-
randu	- 1,523-
empang	- 1,521-
opium	- 1,507-
turbulen	- 1,507-
sungsang	- 1,505-
legit	- 1,504-
protagonis	- 1,504-
serut	- 1,504-
semir	- 1,499-
ginekologi	- 1,492-
vasektomi	- 1,486-
kelebat	- 1,485-
maket	- 1,485-
lak	- 1,481-
timang	- 1,479-
bipolar	- 1,478-
setruk	- 1,475-
dengkul	- 1,472-
buntung	- 1,471-
perangah	- 1,469-
runduk	- 1,461-
cerai; berai	- 1,456-
gasing	- 1,454-
wedang	- 1,451-
stang	- 1,448-
selia	- 1,439-
pagoda	- 1,436-
belati	- 1,435-
foton	- 1,432-
selongsong	- 1,430-
anjal	- 1,427-
ngarai	- 1,423-
oligarki	- 1,421-
tempayan	- 1,419-
berai	- 1,417-
tangguk	- 1,416-
tanak	- 1,410-
serapah	- 1,409-
amnesia	- 1,398-
pupil	- 1,390-
rajuk	- 1,389-
dodor	- 1,385-
besit	- 1,382-
kerasan	- 1,381-
simpuh	- 1,379-
lempem	- 1,375-
jambak	- 1,371-
akik	- 1,367-
gembel	- 1,357-
otak-atik	- 1,356-
ayak	- 1,348-
diuretik	- 1,348-
muncikari	- 1,336-
solek	- 1,335-
gondola	- 1,333-
linggis	- 1,332-
rica	- 1,328-
mancung	- 1,325-
sendu	- 1,321-
gegar	- 1,316-
sodet	- 1,315-
seruput	- 1,313-
polah	- 1,309-
pusara	- 1,309-
blong	- 1,304-
cakalang	- 1,297-
permadani	- 1,293-
esofagus	- 1,291-
paseban	- 1,288-
rasuah	- 1,288-
negro	- 1,282-
keluyur	- 1,279-
handai	- 1,278-
mimisan	- 1,274-
geraham	- 1,272-
ramban	- 1,271-
candida	- 1,269-
kremasi	- 1,267-
mutualistis	- 1,267-
pendulum	- 1,264-
tiarap	- 1,251-
jorjoran	- 1,244-
ingsut	- 1,242-
kina	- 1,237-
banya	- 1,222-
kayangan	- 1,222-
binaraga	- 1,221-
kacung	- 1,219-
keset	- 1,212-
mantu	- 1,207-
salto	- 1,201-
carut	- 1,199-
resik	- 1,199-
torpedo	- 1,197-
aristokrat	- 1,195-
genesis	- 1,189-
hologram	- 1,185-
bokep	- 1,181-
memoar	- 1,178-
gotik	- 1,172-
cukong	- 1,168-
longo	- 1,168-
impas	- 1,161-
gerayang	- 1,160-
vandal	- 1,157-
ponton	- 1,155-
labrak	- 1,152-
kedut	- 1,144-
huyung	- 1,141-
konjungsi	- 1,141-
gimbal	- 1,139-
jambang	- 1,138-
rumbia	- 1,137-
wig	- 1,134-
saru	- 1,133-
mesiu	- 1,130-
manna	- 1,125-
remah	- 1,117-
mulas	- 1,116-
taurus	- 1,110-
sadel	- 1,109-
kaldera	- 1,107-
pelanting	- 1,105-
miliuner	- 1,102-
pekak	- 1,093-
jidat	- 1,089-
keteter	- 1,087-
mangkat	- 1,087-
buncah	- 1,085-
puritan	- 1,083-
tingkap	- 1,076-
simpang; siur	- 1,075-
dirgahayu	- 1,074-
gada	- 1,072-
musabab	- 1,071-
orok; korok	- 1,064-
sulur	- 1,056-
cepak	- 1,053-
germo	- 1,053-
eksponen	- 1,052-
kutikula	- 1,052-
gres	- 1,049-
laring	- 1,047-
eksplosi	- 1,040-
bakung	- 1,026-
simfoni	- 1,024-
ponco	- 1,022-
persisten	- 1,019-
comel	- 1,018-
tekor	- 1,018-
notula	- 1,009-
petahana	- 1,007-
ranjing	- 1,003-
gorok	- 1,002-
biduk	- 999-
bunglon	- 991-
ari-ari	- 983-
igau	- 967-
lipur	- 963-
karut	- 960-
pelatuk; patuk	- 960-
gemulai	- 955-
sepoi	- 955-
hipotek	- 954-
sarangan	- 954-
tirus	- 948-
sekop	- 947-
colek	- 940-
sonar	- 940-
gelimpang	- 927-
grafiti	- 917-
belo	- 908-
kerubung	- 902-
dandang	- 901-
loak	- 901-
sempoyong	- 897-
belalai	- 891-
cekikik	- 889-
freon	- 889-
inaugurasi	- 885-
belatung	- 857-
gospel	- 855-
loper	- 844-
diari	- 842-
pak; epak; kepak	- 841-
cahar	- 834-
kudis	- 832-
orok	- 820-
duodenum	- 816-
uring	- 815-
joran	- 812-
cing	- 803-
banyol	- 801-
galat	- 797-
rong	- 785-
derek	- 778-
admiral	- 777-
anumerta	- 769-
kurcaci	- 759-
antuk	- 750-
kacak	- 749-
alter	- 738-
rengut	- 734-
kontingensi	- 731-
teflon	- 728-
jembut	- 717-
pingkal	- 702-
jelaga	- 687-
gin	- 681-
luak	- 678-
encok	- 676-
pepet; mepet	- 672-
polaroid	- 657-
sagitarius	- 657-
hidran	- 654-
kesiap	- 652-
bawel	- 638-
compang-camping	- 632-
culun	- 630-
ulek	- 618-
kale	- 615-
atopik	- 613-
plutonium	- 613-
konde	- 593-
masin	- 581-
godam	- 576-
fabel	- 571-
oktaf	- 563-
katrol	- 550-
suasa	- 548-
spatula	- 546-
bagal	- 544-
delusi	- 541-
spidometer	- 538-
binatu	- 535-
barber	- 533-
odol	- 530-
bandana	- 524-
tawas	- 518-
paleontologi	- 506-
butang	- 503-
desus	- 495-
cedar	- 489-
kutang	- 487-
reptilia	- 485-
ulam	- 472-
suspek	- 471-
cebol	- 464-
kabaret	- 462-
kerangkeng	- 462-
mendoan	- 462-
tunik	- 457-
iguana	- 441-
purwarupa	- 433-
sengkarut	- 427-
fobia	- 400-
timpani	- 398-
aerobatik	- 397-
tarantula	- 394-
ekstase	- 392-
violin	- 387-
neurosis	- 381-
manset	- 374-
derak	- 367-
pulas; mulas	- 365-
tenderloin	- 361-
jadah	- 359-
kasti	- 357-
jakun	- 355-
belikat	- 351-
gipsi	- 316-
ukulele	- 316-
kod	- 282-
bungalo	- 280-
cambang	- 280-
paparazi	- 269-
testikel	- 242-
abalone	- 234-
bahlul	- 196-
banir	- 176-
raga; meraga	- 140-
banjo	- 119-
babun	- 112-
pramuria	- 112-
sonik	- 108-
esperanto	- 96-
marakas	- 96-
inkumben	- 91-
megafon	- 89-
nonsens	- 82-
sajang	- 73-
mink	- 55-
kunyuk	- 47-
kabaddi	- 45-
kukuruyuk	- 45-
kelepai	- 19-
sri	- 84,748-
arif	- 84,437-
jabar	- 73,670-
sulut	- 61,917-
rahmat	- 51,084-
syekh	- 38,492-
banda	- 37,157-
dur	- 36,782-
bintan	- 35,913-
lombok	- 34,222-
johan	- 32,858-
ayu	- 31,493-
tegal	- 31,374-
kim	- 31,367-
rudi	- 30,730-
khilafah	- 30,642-
taufik	- 29,958-
karawang	- 29,943-
alaihi	- 28,911-
gatot	- 27,877-
garut	- 27,634-
amir	- 26,929-
kia	- 26,669-
sahih	- 26,554-
cup	- 26,534-
gaza	- 25,969-
ace	- 25,925-
car	- 25,897-
pelita	- 25,768-
aziz	- 25,371-
ade	- 25,028-
ani	- 24,855-
brawijaya	- 24,410-
gita	- 24,309-
madar	- 23,801-
kupang	- 23,402-
ilham	- 23,132-
kiprah	- 22,834-
maksiat	- 22,732-
subhanahu	- 22,605-
rahman	- 22,264-
sunan	- 22,093-
tauhid	- 22,047-
graha	- 21,863-
batak	- 21,749-
dian	- 21,282-
salim	- 20,477-
bayu	- 19,721-
gamat	- 19,543-
akil	- 19,394-
del	- 19,243-
ridwan	- 18,927-
esa	- 17,626-
bintaro	- 17,441-
ida	- 17,353-
tuban	- 17,092-
tambun	- 16,911-
endang	- 16,804-
hamzah	- 16,454-
subang	- 16,314-
lingga	- 16,150-
habib	- 15,947-
sir	- 15,777-
